name,year,state,city,lat,lng,cities,beers,cityIndex
10 Barrel Brewing (AB InBev),2008,Oregon,Bend,44.086724,-121.29298,397-3,6.8-3.61-349|5.7-3.44-164|6.9-3.63-134|7.0-3.49-134|6.5-3.57-92|5.0-3.66-84|5.5-3.44-78|9.3-3.73-53|4.2-3.73-50|10.4-3.48-44,397
ZwanzigZ,2012,Indiana,Columbus,39.208809,-85.918886,812-2|391-29|683-32|11-41|793-44,8.3-3.67-18|5.3-3.32-14|5.5-3.11-13|13.4-3.3-12|9.0-3.34-12|6.2-2.84-11|6.4-3.2-11,
14th Star Brewing Company,2012,Vermont,St. Albans,44.814587,-73.082913,869-24,8.4-3.68-103|5.5-3.23-82|5.4-3.3-38|--3.28-15,
16 Mile Brewing Company,2009,Delaware,Georgetown,38.67971,-75.379431,,6.1-2.96-80|6.1-2.95-73|5.9-2.74-68|6.1-3.11-55|6.1-3.37-45|4.1-2.65-34|6.5-3.24-15,
18th Street Brewery,2013,Indiana,Gary,41.599226,-87.268832,416-3|409-14|444-26|632-26|629-27|2-27|613-29|376-30|637-32|706-34|438-38|532-38|815-40|750-41|453-42|837-42|818-43|610-45|913-45|878-47|668-47|175-47|685-47|168-48,8.5-3.67-125|8.0-3.84-120|9.7-3.76-115|8.5-3.8-111|9.5-3.84-104|7.2-3.59-86|5.5-3.54-79|7.7-3.67-75|10.5-3.87-66|5.3-3.32-64,
2 Row Brewing,2015,Utah,Midvale,40.626885,-111.881905,767-3|340-3|249-4|601-6|583-7|896-8|820-8|190-11|123-14|672-16|855-17|331-23|232-29|479-32|374-43,7.0-3.6-20|9.0-3.45-19|5.7-3.34-14,
21st Amendment Brewery,2001,California,San Francisco,37.782318,-122.392446,13-1|434-7|272-7|230-8|44-9|521-10|261-11|351-14|608-14|285-15|512-19|448-23|210-23|464-24|675-25|845-26|834-26|160-27|516-27|96-27|705-27|867-28|402-28|222-29|515-30|449-30|169-35|264-35|588-37|488-38|219-38|254-40|662-41|600-41|907-42|315-46|408-46|369-48,7.0-3.62-1153|6.8-3.55-904|4.9-2.87-885|8.3-3.61-641|9.7-3.77-583|4.4-3.49-535|7.9-3.17-444|11.5-3.54-388|6.2-3.32-309|7.9-3.66-252,13
23rd Street Brewery,2005,Kansas,Lawrence,38.942803,-95.28338,337-7|540-22|192-24|201-27|734-30|131-33|167-37|36-38|322-41|226-48|688-49,7.25-3.2-30|6.1-2.89-22|5.2-2.72-19|5.4-2.73-18|9.25-3.43-17|5.69-3.15-14,337
2nd Shift Brewing,2011,Missouri,St. Louis,38.621869,-90.280405,57-5|702-13|506-19|860-20|781-20|666-22|387-26,5.4-3.62-87|7.6-3.69-78|9.3-3.65-54|5.0-3.41-43|11.5-3.75-37|4.5-3.42-37|7.0-3.7-36|5.7-3.55-36|8.5-3.61-33|11.5-3.89-30,57
2nd Story Brewing Company,2014,Pennsylvania,Philadelphia,39.948423,-75.143268,4-4|429-15|469-26|577-32|373-32|443-46|223-48,6.9-3.56-26|5.1-3.02-19|3.7-3.3-17,4
